"uid","url","proxy_used","oman_block_social?","oman_block_laws?","india_block?"
"115","http://commnicator.clickatell.com","http://OMAN_PROXY1:8080",,,
"116","http://commnicator.clickatell.com","http://OMAN_PROXY2:80",,,
"117","http://commnicator.clickatell.com",,,,
"118","http://dalitstan.org","http://OMAN_PROXY1:8080",,,
"119","http://dalitstan.org","http://OMAN_PROXY2:80",,,
"120","http://dalitstan.org",,,,
"121","http://mackers-world.com","http://OMAN_PROXY1:8080",,,
"122","http://mackers-world.com","http://OMAN_PROXY2:80",,,
"123","http://mackers-world.com",,,,
"124","http://jonnyasp.com","http://OMAN_PROXY1:8080",,,
"125","http://jonnyasp.com","http://OMAN_PROXY2:80",,,
"126","http://jonnyasp.com",,,,
"127","http://google0.ingo","http://OMAN_PROXY1:8080",,,
"128","http://google0.ingo","http://OMAN_PROXY2:80",,,
"129","http://google0.ingo",,,,
"130","http://www.box.in","http://OMAN_PROXY1:8080",,,
"131","http://www.box.in","http://OMAN_PROXY2:80",,,
"132","http://www.box.in",,,,
"133","http://www.geocities.com/cpmimlpwg","http://OMAN_PROXY1:8080",,,
"134","http://www.geocities.com/cpmimlpwg","http://OMAN_PROXY2:80",,,
"135","http://www.geocities.com/cpmimlpwg",,,,
"136","http://www.geocities.com/cpmimlpwg/home.html","http://OMAN_PROXY1:8080",,,
"137","http://www.geocities.com/cpmimlpwg/home.html","http://OMAN_PROXY2:80",,,
"138","http://www.geocities.com/cpmimlpwg/home.html",,,,
"139","http://in.mobango.com","http://OMAN_PROXY1:8080",,,
"140","http://in.mobango.com","http://OMAN_PROXY2:80",,,
"141","http://in.mobango.com",,,,
"142","http://carc.org.in","http://OMAN_PROXY1:8080",,,
"143","http://carc.org.in","http://OMAN_PROXY2:80",,,
"144","http://carc.org.in",,,,
"145","http://www.yourfilehost.com","http://OMAN_PROXY1:8080","yes",,
"146","http://www.yourfilehost.com","http://OMAN_PROXY2:80","yes",,
"147","http://www.yourfilehost.com",,,,
"148","http://www.tv.tamilwire.com","http://OMAN_PROXY1:8080",,,
"149","http://www.tv.tamilwire.com","http://OMAN_PROXY2:80",,,
"150","http://www.tv.tamilwire.com",,,,
"151","http://www.savithabhabi.com","http://OMAN_PROXY1:8080",,,
"152","http://www.savithabhabi.com","http://OMAN_PROXY2:80",,,
"153","http://www.savithabhabi.com",,,,
"154","http://www.zone-h.org","http://OMAN_PROXY1:8080",,,
"155","http://www.zone-h.org","http://OMAN_PROXY2:80",,,
"156","http://www.zone-h.org",,,,
"157","http://zone-h.org","http://OMAN_PROXY1:8080",,,
"158","http://zone-h.org","http://OMAN_PROXY2:80",,,
"159","http://zone-h.org",,,,
"160","http://bloggernews.net/124029/","http://OMAN_PROXY1:8080",,,"yes"
"161","http://bloggernews.net/124029/","http://OMAN_PROXY2:80",,,"yes"
"162","http://www.bloggernews.net/124029","http://OMAN_PROXY1:8080",,,"yes"
"163","http://www.bloggernews.net/124029","http://OMAN_PROXY2:80",,,"yes"
"164","http://www.bloggernews.net/124029/","http://OMAN_PROXY1:8080",,,"yes"
"165","http://www.bloggernews.net/124029/","http://OMAN_PROXY2:80",,,"yes"
"166","http://www.google.co.in/#h1=en&source=hp&biw=1276&bih=843&q=dr+babasaheb+ambedkar+wallpaper&aq+4&aqi=g10&aql=&oq=dr+babas&gs_rfai=&fp=e791fe993fa412ba","http://OMAN_PROXY1:8080",,,
"167","http://www.google.co.in/#h1=en&source=hp&biw=1276&bih=843&q=dr+babasaheb+ambedkar+wallpaper&aq+4&aqi=g10&aql=&oq=dr+babas&gs_rfai=&fp=e791fe993fa412ba","http://OMAN_PROXY2:80",,,
"168","http://www.google.co.in/#h1=en&source=hp&biw=1276&bih=843&q=dr+babasaheb+ambedkar+wallpaper&aq+4&aqi=g10&aql=&oq=dr+babas&gs_rfai=&fp=e791fe993fa412ba",,,,
"169","http://www.submitlink.khatana.net/2010/09/jennifer-stano-is-engaged-to.html","http://OMAN_PROXY1:8080",,,
"170","http://www.submitlink.khatana.net/2010/09/jennifer-stano-is-engaged-to.html","http://OMAN_PROXY2:80",,,
"171","http://www.submitlink.khatana.net/2010/09/jennifer-stano-is-engaged-to.html",,,,
"172","http://www.cinemahd.net/desktop-enhancements/wallpaper/23945-wallpapers-beautiful-girl-wallpaper.html","http://OMAN_PROXY1:8080",,,
"173","http://www.cinemahd.net/desktop-enhancements/wallpaper/23945-wallpapers-beautiful-girl-wallpaper.html","http://OMAN_PROXY2:80",,,
"174","http://www.cinemahd.net/desktop-enhancements/wallpaper/23945-wallpapers-beautiful-girl-wallpaper.html",,,,
"175","http://www.chakpak.com/find/images/kamasutra-hindi-movie","http://OMAN_PROXY1:8080",,,"yes"
"176","http://www.chakpak.com/find/images/kamasutra-hindi-movie","http://OMAN_PROXY2:80",,,"yes"
"177","http://www.chakpak.com/find/images/kamasutra-hindi-movie",,,,
"178","http://www.result.khatana.net/2010/11/im-no-panty-girl-yana-gupta-wardrobe.html","http://OMAN_PROXY1:8080",,,
"179","http://www.result.khatana.net/2010/11/im-no-panty-girl-yana-gupta-wardrobe.html","http://OMAN_PROXY2:80",,,
"180","http://www.result.khatana.net/2010/11/im-no-panty-girl-yana-gupta-wardrobe.html",,,,
"181","http://www.facebook.com/pages/I-Hate-Ambedkar/172025102828076","http://OMAN_PROXY1:8080",,,
"182","http://www.facebook.com/pages/I-Hate-Ambedkar/172025102828076","http://OMAN_PROXY2:80",,,
"183","http://www.facebook.com/pages/I-Hate-Ambedkar/172025102828076",,,,
"184","http://www.arizona.indymedia.org/","http://OMAN_PROXY1:8080",,,
"185","http://www.arizona.indymedia.org/","http://OMAN_PROXY2:80",,,
"186","http://www.arizona.indymedia.org/",,,,
"187","http://www.indybay.org","http://OMAN_PROXY1:8080",,,"yes"
"188","http://www.indybay.org","http://OMAN_PROXY2:80",,,"yes"
"189","http://www.indybay.org",,,,
"190","http://www.complaintsboard.com/complaints/narang-access-pvt-ltd-c426988.html?sort=ratea.","http://OMAN_PROXY1:8080",,,
"191","http://www.complaintsboard.com/complaints/narang-access-pvt-ltd-c426988.html?sort=ratea.","http://OMAN_PROXY2:80",,,
"192","http://www.complaintsboard.com/complaints/narang-access-pvt-ltd-c426988.html?sort=ratea.",,,,
"193","http://dl.btjunkie.org/torrent/Bodyguard-2011-Hindi-Movie-SCR-1CD-CAM-RIP-DAY/3381072ca0b09a7e175bc5cc10fbcc660645","http://OMAN_PROXY1:8080",,,
"194","http://dl.btjunkie.org/torrent/Bodyguard-2011-Hindi-Movie-SCR-1CD-CAM-RIP-DAY/3381072ca0b09a7e175bc5cc10fbcc660645","http://OMAN_PROXY2:80",,,
"195","http://dl.btjunkie.org/torrent/Bodyguard-2011-Hindi-Movie-SCR-1CD-CAM-RIP-DAY/3381072ca0b09a7e175bc5cc10fbcc660645",,,,
"196","http://satishsethadag.blogspot.com/","http://OMAN_PROXY1:8080",,,
"197","http://satishsethadag.blogspot.com/","http://OMAN_PROXY2:80",,,
"198","http://satishsethadag.blogspot.com/",,,,
"199","http://satishseth.blogspot.com/","http://OMAN_PROXY1:8080",,,
"200","http://satishseth.blogspot.com/","http://OMAN_PROXY2:80",,,
"201","http://satishseth.blogspot.com/",,,,
"202","http://in.linkedin.com/in/satishseth","http://OMAN_PROXY1:8080",,,
"203","http://in.linkedin.com/in/satishseth","http://OMAN_PROXY2:80",,,
"204","http://in.linkedin.com/in/satishseth",,,,
"205","https://profiles.google.com/103976341793285625231/about","http://OMAN_PROXY1:8080",,,
"206","https://profiles.google.com/103976341793285625231/about","http://OMAN_PROXY2:80",,,
"207","https://profiles.google.com/103976341793285625231/about",,,,
"208","http://satishsethswan.blogspot.com/","http://OMAN_PROXY1:8080",,,
"209","http://satishsethswan.blogspot.com/","http://OMAN_PROXY2:80",,,
"210","http://satishsethswan.blogspot.com/",,,,
"211","http://in.linkedin.com/in/satishsethadag","http://OMAN_PROXY1:8080",,,
"212","http://in.linkedin.com/in/satishsethadag","http://OMAN_PROXY2:80",,,
"213","http://in.linkedin.com/in/satishsethadag",,,,
"214","http://digg.com/satishsethadag","http://OMAN_PROXY1:8080",,,
"215","http://digg.com/satishsethadag","http://OMAN_PROXY2:80",,,
"216","http://digg.com/satishsethadag",,,,
"217","http://digg.com/satishsethswan/submissions","http://OMAN_PROXY1:8080",,,
"218","http://digg.com/satishsethswan/submissions","http://OMAN_PROXY2:80",,,
"219","http://digg.com/satishsethswan/submissions",,,,
"220","http://in.linkedin.com/pub/satish-seth-investment/3a/144/931","http://OMAN_PROXY1:8080",,,
"221","http://in.linkedin.com/pub/satish-seth-investment/3a/144/931","http://OMAN_PROXY2:80",,,
"222","http://in.linkedin.com/pub/satish-seth-investment/3a/144/931",,,,
"223","http://www.blogger.com/profile/03550922789477190410","http://OMAN_PROXY1:8080",,,
"224","http://www.blogger.com/profile/03550922789477190410","http://OMAN_PROXY2:80",,,
"225","http://www.blogger.com/profile/03550922789477190410",,,,
"226","http://www.blogger-index.com/693616-satish-seth-adag","http://OMAN_PROXY1:8080",,,
"227","http://www.blogger-index.com/693616-satish-seth-adag","http://OMAN_PROXY2:80",,,
"228","http://www.blogger-index.com/693616-satish-seth-adag",,,,
"229","http://satishsethreliance.tumblr.com/","http://OMAN_PROXY1:8080",,,
"230","http://satishsethreliance.tumblr.com/","http://OMAN_PROXY2:80",,,
"231","http://satishsethreliance.tumblr.com/",,,,
"232","http://twitter.com/satishsethswan","http://OMAN_PROXY1:8080",,,
"233","http://twitter.com/satishsethswan","http://OMAN_PROXY2:80",,,
"234","http://twitter.com/satishsethswan",,,,
"235","http://www.metacafe.com/watch/7230576/joining_a_dancing_class_benefits/","http://OMAN_PROXY1:8080",,,
